ANDROID_SPEC_EXPERIMENT
health=ok
verifierMode=llama_cpp_spec_split
prompt=Explain speculative decoding briefly.
draftModel=Llama-3.2-1B-Instruct-Q4_K_M.gguf
targetModel=Llama-3.2-3B-Instruct-Q4_K_M.gguf
draftMaxTokens=16
maxAcceptedTokens=64
steps=38
committedTokens=64
totalAcceptedTokens=64
totalProposedTokens=111
totalMs=37739
totalDraftFetchMs=32942
totalRemoteProposeMs=4633
totalLocalApplyMs=0
overallTokensPerSecond=1.696
draftTokensPerSecond=3.370
closeStatus=closed
closeReason=android_experiment_complete
acceptedText=Speculative decoding is a method in biblical criticism and biblical studies that aims to reconstruct the original text of the Hebrew Bible, the Christian Old Testament, and the Christian New Testament. The term "speculative" refers to the fact that this approach is based on hypotheses and educated guesses, rather than direct evidence or definitive proof.


traces:
step=1 proposed=11 accepted=6 corrections=1 committed=7 draftFetchMs=2581 remoteMs=528 localApplyMs=0 prepareMs=283.142 decodeMs=274.475 sampleMs=2.075 rollbackMs=0.005 helperTotalMs=559.727 helperRoundTripMs=517.289 serviceTotalMs=517.341 estimatedTransportMs=10.659 finish=
step=2 proposed=2 accepted=0 corrections=1 committed=8 draftFetchMs=829 remoteMs=103 localApplyMs=0 prepareMs=0.000 decodeMs=100.119 sampleMs=0.194 rollbackMs=0.006 helperTotalMs=100.329 helperRoundTripMs=93.346 serviceTotalMs=93.390 estimatedTransportMs=9.610 finish=
step=3 proposed=2 accepted=0 corrections=1 committed=9 draftFetchMs=470 remoteMs=101 localApplyMs=0 prepareMs=0.000 decodeMs=99.498 sampleMs=0.189 rollbackMs=0.006 helperTotalMs=99.703 helperRoundTripMs=92.663 serviceTotalMs=92.697 estimatedTransportMs=8.303 finish=
step=4 proposed=2 accepted=0 corrections=1 committed=10 draftFetchMs=638 remoteMs=106 localApplyMs=0 prepareMs=0.000 decodeMs=104.724 sampleMs=0.362 rollbackMs=0.006 helperTotalMs=105.104 helperRoundTripMs=97.709 serviceTotalMs=97.755 estimatedTransportMs=8.245 finish=
step=5 proposed=10 accepted=0 corrections=1 committed=11 draftFetchMs=2372 remoteMs=229 localApplyMs=0 prepareMs=0.000 decodeMs=241.714 sampleMs=0.202 rollbackMs=0.006 helperTotalMs=241.932 helperRoundTripMs=223.864 serviceTotalMs=223.901 estimatedTransportMs=5.099 finish=
step=6 proposed=2 accepted=0 corrections=1 committed=12 draftFetchMs=651 remoteMs=113 localApplyMs=0 prepareMs=0.000 decodeMs=113.150 sampleMs=0.198 rollbackMs=0.007 helperTotalMs=113.366 helperRoundTripMs=105.344 serviceTotalMs=105.396 estimatedTransportMs=7.604 finish=
step=7 proposed=1 accepted=0 corrections=1 committed=13 draftFetchMs=436 remoteMs=80 localApplyMs=0 prepareMs=0.000 decodeMs=79.382 sampleMs=0.194 rollbackMs=0.006 helperTotalMs=79.590 helperRoundTripMs=74.225 serviceTotalMs=74.277 estimatedTransportMs=5.723 finish=
step=8 proposed=1 accepted=0 corrections=1 committed=14 draftFetchMs=426 remoteMs=105 localApplyMs=0 prepareMs=0.000 decodeMs=107.590 sampleMs=0.216 rollbackMs=0.007 helperTotalMs=107.824 helperRoundTripMs=100.264 serviceTotalMs=100.307 estimatedTransportMs=4.693 finish=
step=9 proposed=2 accepted=1 corrections=1 committed=16 draftFetchMs=653 remoteMs=98 localApplyMs=0 prepareMs=0.000 decodeMs=96.261 sampleMs=0.314 rollbackMs=0.005 helperTotalMs=96.591 helperRoundTripMs=89.820 serviceTotalMs=89.863 estimatedTransportMs=8.137 finish=
step=10 proposed=4 accepted=4 corrections=1 committed=21 draftFetchMs=1142 remoteMs=127 localApplyMs=0 prepareMs=0.000 decodeMs=128.617 sampleMs=0.683 rollbackMs=0.003 helperTotalMs=129.312 helperRoundTripMs=120.064 serviceTotalMs=120.105 estimatedTransportMs=6.895 finish=
step=11 proposed=1 accepted=0 corrections=1 committed=22 draftFetchMs=576 remoteMs=78 localApplyMs=0 prepareMs=0.000 decodeMs=77.913 sampleMs=0.205 rollbackMs=0.008 helperTotalMs=78.137 helperRoundTripMs=72.831 serviceTotalMs=72.893 estimatedTransportMs=5.107 finish=
